"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
2193,"Tony Hawk: RIDE","Wii","2009","Sports","Activision",0.7,0.17,0,0.08,0.95
2222,"Nickelodeon Fit","Wii","2010","Sports","Take-Two Interactive",0.78,0.09,0,0.06,0.93
2227,"EA Sports Grand Slam Tennis","Wii","2009","Sports","Electronic Arts",0.29,0.52,0.02,0.11,0.93
2276,"AMF Bowling Pinbusters!","Wii","2007","Sports","Bethesda Softworks",0.85,0,0,0.07,0.91
2303,"We Ski & Snowboard","Wii","2008","Sports","Atari",0.38,0.29,0.15,0.08,0.9
2319,"FIFA Soccer 09 All-Play","Wii","2008","Sports","Electronic Arts",0.29,0.52,0,0.09,0.9
2329,"Madden NFL 08","Wii","2007","Sports","Electronic Arts",0.82,0.01,0,0.07,0.89
2382,"Gold's Gym: Dance Workout","Wii","2010","Sports","Ubisoft",0.71,0.11,0,0.06,0.87
2434,"Madden NFL 09 All-Play","Wii","2008","Sports","Electronic Arts",0.78,0.01,0,0.07,0.85
2505,"Deca Sports 2","Wii","2009","Sports","Hudson Soft",0.33,0.34,0.09,0.07,0.82
2541,"EA Sports Active NFL Training Camp","Wii","2010","Sports","Electronic Arts",0.77,0,0,0.05,0.81
2580,"All Star Cheer Squad","Wii","2008","Sports","THQ",0.43,0.29,0,0.08,0.8
2621,"FIFA 12","Wii","2011","Sports","Electronic Arts",0.16,0.52,0,0.11,0.79
2712,"Deer Drive","Wii","2009","Sports","Big Ben Interactive",0.67,0.04,0,0.05,0.76
2718,"FIFA 15","Wii","2014","Sports","Electronic Arts",0.24,0.46,0,0.06,0.76
2778,"Madden NFL 11","Wii","N/A","Sports","Unknown",0.7,0,0,0.05,0.74
2803,"Madden NFL 10","Wii","2009","Sports","Electronic Arts",0.63,0.04,0,0.06,0.73
3021,"The Biggest Loser: Challenge","Wii","2010","Sports","THQ",0.49,0.13,0,0.05,0.67
3034,"Summer Sports: Paradise Island (Others sales)","Wii","2008","Sports","Ubisoft",0,0.66,0,0.01,0.67
3210,"Cabela's Big Game Hunter (2008)","Wii","2007","Sports","Activision",0.58,0,0,0.05,0.63
3303,"Cabela's Monster Buck Hunter","Wii","2010","Sports","Activision",0.58,0,0,0.03,0.61
3424,"Skate it","Wii","2008","Sports","Electronic Arts",0.51,0.04,0,0.05,0.59
3447,"Cabela's Dangerous Hunts 2011","Wii","2010","Sports","Activision",0.53,0.02,0,0.04,0.58
3498,"Rapala: We Fish","Wii","2009","Sports","Activision",0.52,0.02,0,0.04,0.58
3536,"Jillian Michaels Fitness Ultimatum 2010","Wii","2009","Sports","Majesco Entertainment",0.52,0.01,0,0.04,0.57
3589,"Tony Hawk: Shred","Wii","2010","Sports","Activision",0.41,0.11,0,0.04,0.56
3619,"Tiger Woods PGA Tour 11","Wii","2010","Sports","Electronic Arts",0.24,0.26,0,0.06,0.56
3623,"Rapala Tournament Fishing!","Wii","2006","Sports","Activision",0.51,0,0,0.04,0.56
3677,"Summer Sports: Paradise Island","Wii","2008","Sports","Ubisoft",0.49,0.02,0,0.04,0.55
3732,"Madden NFL 13","Wii","2012","Sports","Electronic Arts",0.51,0,0,0.03,0.54
3895,"Pro Evolution Soccer 2010","Wii","2009","Sports","Konami Digital Entertainment",0.12,0.27,0.06,0.05,0.51
3903,"Sega Bass Fishing","Wii","2008","Sports","Sega",0.46,0.01,0,0.04,0.51
3977,"Madden NFL 07","Wii","2006","Sports","Electronic Arts",0.46,0,0,0.04,0.5
4069,"Bass Pro Shops: The Strike","Wii","2009","Sports","XS Games",0.45,0,0,0.03,0.49
4091,"Active Life: Extreme Challenge","Wii","2009","Sports","Namco Bandai Games",0.15,0.27,0,0.06,0.48
4201,"Tiger Woods PGA Tour 07","Wii","N/A","Sports","Electronic Arts",0.43,0,0,0.04,0.47
4255,"Walk it Out!","Wii","2010","Sports","Konami Digital Entertainment",0.36,0.06,0,0.04,0.46
4277,"Madden NFL 12","Wii","2011","Sports","Electronic Arts",0.43,0,0,0.03,0.46
4330,"NBA 2K13","Wii","2012","Sports","Take-Two Interactive",0.39,0.03,0,0.03,0.45
4357,"PES 2009: Pro Evolution Soccer","Wii","2009","Sports","Konami Digital Entertainment",0.09,0.26,0.05,0.05,0.45
4403,"Celebrity Sports Showdown","Wii","2008","Sports","Electronic Arts",0.18,0.22,0,0.05,0.45
4493,"Remington Great American Bird Hunt","Wii","2009","Sports","Mastiff",0.41,0,0,0.03,0.44
4513,"NBA Jam","Wii","2010","Sports","Electronic Arts",0.38,0.03,0,0.03,0.43
4525,"2010 FIFA World Cup South Africa","Wii","2010","Sports","Electronic Arts",0.23,0.15,0.01,0.04,0.43
4538,"NHL Slapshot","Wii","N/A","Sports","Unknown",0.4,0,0,0.02,0.43
4540,"FIFA 14","Wii","2013","Sports","Electronic Arts",0,0.38,0,0.05,0.43
4662,"Fishing Resort","Wii","2011","Sports","Namco Bandai Games",0.16,0,0.25,0.01,0.42
4738,"Winter Sports 2: The Next Challenge","Wii","2008","Sports","RTL",0.18,0.19,0,0.04,0.41
4888,"NBA 2K10","Wii","2009","Sports","Take-Two Interactive",0.36,0,0,0.03,0.39
4891,"Brunswick Pro Bowling","Wii","2007","Sports","505 Games",0.36,0.01,0,0.03,0.39
4966,"Hooked! Again: Real Motion Fishing","Wii","2009","Sports","505 Games",0.36,0,0,0.03,0.39
4992,"Cabela's Dangerous Hunts 2009","Wii","2008","Sports","Activision Value",0.36,0,0,0.03,0.38
